Checked,Protein FDR Confidence Combined,Master,Accession,Description,Exp q-value Combined,Sum PEP Score,Coverage in Percent,Number of Peptides,Number of PSMs,Number of Unique Peptides,Number of AAs,MW in kDa,calc pI,Score Sequest HT Sequest HT,Number of Peptides by Search Engine Sequest HT,Number of Razor Peptides,Abundances Scaled F3 Sample,Abundances Scaled F4 Sample,Found in Sample in S3 F3 Sample,Found in Sample in S4 F4 Sample,Number of Protein Groups,Modifications
FALSE,High,IsMasterProtein,A0A3B6R751,Acetyltransferase component of pyruvate dehydrogenase complex OS=Triticum aestivum OX=4565 PE=3 SV=1,0,7.516,6,3,3,3,541,58.3,7.47,7.54,3,0,200,,High,Not Found,1,
FALSE,High,IsMasterProtein,A0A3B6PQ12,Aconitase_C domain-containing protein OS=Triticum aestivum OX=4565 PE=4 SV=1,0,6.148,15,2,2,2,247,25.4,7.87,5.85,2,0,145.9,54.1,High,Peak Found,1,
FALSE,High,IsMasterProtein,A0A3B6QPD1,Aconitate hydratase OS=Triticum aestivum OX=4565 PE=3 SV=1,0,21.696,9,6,10,6,904,98.5,5.95,25.65,6,0,200,,High,Not Found,1,
FALSE,High,IsMasterProtein,A0A3B6KT79,Aconitate hydratase OS=Triticum aestivum OX=4565 PE=3 SV=1,0,13.348,8,5,7,5,995,106.9,7.06,14.12,5,0,200,,High,Not Found,1,
FALSE,High,IsMasterProtein,A0A097KUG3,Actin-depolymerizing factor 6 OS=Triticum aestivum OX=4565 GN=ADF6 PE=2 SV=1,0,1.994,11,1,1,1,145,16.8,5.41,0,1,0,200,,High,Not Found,1,
FALSE,High,IsMasterProtein,A0A3B6RFD2,Acyl carrier protein OS=Triticum aestivum OX=4565 PE=3 SV=1,0,3.61,11,1,2,1,137,14.6,4.82,4.18,1,0,200,,High,Not Found,1,
FALSE,Medium,IsMasterProtein,A0A3B6RMJ9,Acyl-[acyl-carrier-protein] hydrolase OS=Triticum aestivum OX=4565 PE=3 SV=1,0.012,1.246,5,1,1,1,411,45.5,7.66,2.14,1,0,200,,High,Not Found,1,Met-loss [N-Term]
FALSE,High,IsMasterProtein,A0A3B6TCJ3,Acylphosphatase OS=Triticum aestivum OX=4565 PE=3 SV=1,0.009,1.369,19,1,1,1,113,11.7,7.53,0,1,0,136.5,63.5,High,Peak Found,1,Met-loss+Acetyl [N-Term]
FALSE,High,IsMasterProtein,A0A1D5URS1,Adenosylhomocysteinase OS=Triticum aestivum OX=4565 GN=CAMPLR22A2D_LOCUS4880 PE=3 SV=1,0,9.211,10,4,6,1,485,53.2,6.05,12.13,4,0,200,,High,Not Found,1,
FALSE,High,IsMasterProtein,A0A3B6B781,Adenosylhomocysteinase OS=Triticum aestivum OX=4565 PE=3 SV=1,0,11.457,14,5,7,2,485,53.2,5.92,17.28,5,0,200,,High,Not Found,1,
FALSE,High,IsMasterProtein,A0A3B6B6M7,Adenosylhomocysteinase OS=Triticum aestivum OX=4565 PE=3 SV=1,0,10.087,11,5,7,2,481,52.8,5.9,16.64,5,3,200,,High,Not Found,1,
FALSE,High,IsMasterProtein,A0A3B6IT32,Adenylosuccinate lyase OS=Triticum aestivum OX=4565 PE=3 SV=1,0,4.659,5,2,2,2,543,60.3,5.92,5.33,2,0,200,,High,Not Found,1,
FALSE,High,IsMasterProtein,A0A3B6HMU1,"Adenylosuccinate synthetase, chloroplastic OS=Triticum aestivum OX=4565 GN=PURA PE=3 SV=1",0,4.228,7,2,3,2,487,52.1,6.48,6.83,2,0,129.7,70.3,High,Peak Found,1,
FALSE,High,IsMasterProtein,A0A3B6JFR8,Adenylyl cyclase-associated protein OS=Triticum aestivum OX=4565 PE=3 SV=1,0,9.143,9,3,5,3,480,51,7.11,12.38,3,0,95.4,104.6,High,Peak Found,1,
FALSE,High,IsMasterProtein,A0A1D5ZLT8,ADF-H domain-containing protein OS=Triticum aestivum OX=4565 PE=3 SV=1,0,8.741,19,3,3,3,138,16.1,5.95,8.11,3,0,200,,High,Not Found,1,Met-loss+Acetyl [N-Term]
FALSE,High,IsMasterProtein,A0A3B6LV66,ADF-H domain-containing protein OS=Triticum aestivum OX=4565 PE=3 SV=1,0,5.733,22,2,3,1,147,15.8,4.82,6.09,2,1,161.6,38.4,High,Not Found,1,Met-loss+Acetyl [N-Term]
FALSE,High,IsMasterProtein,A0A3B6MZL4,ADF-H domain-containing protein OS=Triticum aestivum OX=4565 PE=3 SV=1,0,5.711,22,2,3,1,147,15.9,4.98,7.77,2,0,200,,High,Not Found,1,Met-loss+Acetyl [N-Term]
FALSE,High,IsMasterProtein,A0A3B6LWH2,ADF-H domain-containing protein OS=Triticum aestivum OX=4565 PE=3 SV=1,0,2.763,11,1,1,1,142,15.7,4.59,2.05,1,0,200,,High,Not Found,1,Met-loss+Acetyl [N-Term]
FALSE,High,IsMasterProtein,A0A3B6LID7,ADK_lid domain-containing protein OS=Triticum aestivum OX=4565 PE=3 SV=1,0,3.97,6,1,1,1,241,26.3,7.02,2.98,1,0,200,,High,Not Found,1,
FALSE,High,IsMasterProtein,A0A3B6TR94,Aha1_N domain-containing protein OS=Triticum aestivum OX=4565 PE=4 SV=1,0,9.965,17,4,6,2,354,38.8,5.87,11.25,4,2,178.1,21.9,High,Not Found,1,
FALSE,High,IsMasterProtein,A0A3B6RJB7,Aha1_N domain-containing protein OS=Triticum aestivum OX=4565 PE=4 SV=1,0,11.559,18,4,8,2,358,39.1,5.87,19.28,4,0,200,,High,Not Found,1,
FALSE,High,IsMasterProtein,A0A3B6IS75,Alanine--tRNA ligase OS=Triticum aestivum OX=4565 PE=3 SV=1,0,16.442,7,5,5,1,1006,109.5,6.62,12.36,5,4,200,,High,Not Found,1,
FALSE,High,IsMasterProtein,A0A3B6JFS6,Alanine--tRNA ligase OS=Triticum aestivum OX=4565 PE=3 SV=1,0,15.444,7,5,5,1,1006,109.5,6.42,12.01,5,0,200,,High,Not Found,1,
FALSE,High,IsMasterProtein,A9U8G4,Alcohol dehydrogenase ADH1A OS=Triticum aestivum OX=4565 PE=2 SV=1,0,23.887,30,9,19,1,379,41,6.6,42.8,9,10,200,,High,Not Found,1,
FALSE,High,IsMasterProtein,A0A3B6ING4,Alcohol dehydrogenase ADH1D OS=Triticum aestivum OX=4565 PE=3 SV=1,0,24.32,30,9,18,1,377,40.8,6.46,41.15,9,0,200,,High,Not Found,1,
FALSE,High,IsMasterProtein,A0A3B6SH91,Aldedh domain-containing protein OS=Triticum aestivum OX=4565 PE=3 SV=1,0,13.215,8,3,6,3,552,59.4,6.86,14.65,3,0,200,,High,Not Found,1,
FALSE,High,IsMasterProtein,A0A3B6KIN5,Aldedh domain-containing protein OS=Triticum aestivum OX=4565 PE=3 SV=1,0,7.676,5,2,3,2,509,54.3,6.25,7.02,2,0,200,,High,Not Found,1,
FALSE,High,IsMasterProtein,A0A3B6PRJ5,Aldedh domain-containing protein OS=Triticum aestivum OX=4565 PE=3 SV=1,0,7.744,10,4,6,4,503,54.4,5.72,9.68,4,0,200,,High,Not Found,1,
FALSE,High,IsMasterProtein,A0A3B6C3E1,Aldedh domain-containing protein OS=Triticum aestivum OX=4565 PE=3 SV=1,0.006,1.499,3,1,1,1,496,53,6.83,0,1,0,200,,High,Not Found,1,
FALSE,High,IsMasterProtein,A0A3B6CDE3,Aldedh domain-containing protein OS=Triticum aestivum OX=4565 PE=4 SV=1,0,13.302,12,4,5,4,534,57.1,6.1,11.19,4,0,200,,High,Not Found,1,
FALSE,High,IsMasterProtein,A0A3B5Z3Z2,Aldedh domain-containing protein OS=Triticum aestivum OX=4565 PE=4 SV=1,0,5.311,7,3,3,3,551,61,7.72,7.21,3,0,200,,High,Not Found,1,
FALSE,High,IsMasterProtein,W5CWR9,Aldo_ket_red domain-containing protein OS=Triticum aestivum OX=4565 GN=TRAES_3BF020200010CFD_c1 PE=4 SV=1,0,3.591,6,2,2,2,341,37.7,6.86,1.93,2,0,145.8,54.2,High,Peak Found,1,
FALSE,High,IsMasterProtein,A0A3B6GQ06,Aldo_ket_red domain-containing protein OS=Triticum aestivum OX=4565 PE=4 SV=1,0.007,1.402,4,1,1,1,310,34.4,7.14,0,1,0,200,,High,Not Found,1,
FALSE,High,IsMasterProtein,A0A3B6EQD7,Aldo_ket_red domain-containing protein OS=Triticum aestivum OX=4565 PE=4 SV=1,0,2.29,4,1,2,1,311,34.2,6.74,2.22,1,0,200,,High,Not Found,1,Met-loss+Acetyl [N-Term]
FALSE,High,IsMasterProtein,A0A3B6DFG8,Aldo_ket_red domain-containing protein OS=Triticum aestivum OX=4565 PE=4 SV=1,0,2.098,4,1,1,1,326,35.9,6.37,2.47,1,0,200,,High,Not Found,1,
FALSE,High,IsMasterProtein,A0A3B5Z0D1,Aldo_ket_red domain-containing protein OS=Triticum aestivum OX=4565 PE=4 SV=1,0,7.129,11,3,3,3,320,35.9,7.12,6.37,3,0,200,,High,Not Found,1,
FALSE,High,IsMasterProtein,A0A3B6AUU3,Aldose 1-epimerase OS=Triticum aestivum OX=4565 PE=3 SV=1,0,6.576,12,3,5,3,321,34.8,5.36,9.82,3,0,200,,High,Not Found,1,Met-loss+Acetyl [N-Term]
FALSE,High,IsMasterProtein,D8L9G7,"Alpha-1,4 glucan phosphorylase OS=Triticum aestivum OX=4565 GN=TAA_ctg0079b.00050.1 PE=3 SV=1",0,7.222,5,3,3,3,832,93.7,7.75,7.95,3,0,200,,High,Not Found,1,
FALSE,High,IsMasterProtein,P17314,Alpha-amylase/trypsin inhibitor CM3 OS=Triticum aestivum OX=4565 PE=1 SV=1,0,2.142,10,1,1,1,168,18.2,7.44,1.72,1,0,200,,High,Not Found,1,
FALSE,High,IsMasterProtein,A0A3B6N140,Alpha-mannosidase OS=Triticum aestivum OX=4565 PE=3 SV=1,0,13.878,7,5,6,1,1025,114.2,6.11,13.97,5,4,200,,High,Not Found,1,
FALSE,High,IsMasterProtein,A0A3B6LWN3,Alpha-mannosidase OS=Triticum aestivum OX=4565 PE=3 SV=1,0,14.998,6,4,5,1,1018,113.7,6.09,13.52,4,0,200,,High,Not Found,1,
FALSE,High,IsMasterProtein,A0A3B6KQ72,Alpha-mannosidase OS=Triticum aestivum OX=4565 PE=3 SV=1,0,12.37,5,4,5,1,1018,113.7,5.92,10.05,4,0,,,High,Not Found,1,
FALSE,High,IsMasterProtein,A0A3B6FVJ0,Amidase domain-containing protein OS=Triticum aestivum OX=4565 PE=4 SV=1,0,5.98,4,2,4,2,621,68.1,7.87,10.12,2,0,200,,High,Not Found,1,
FALSE,High,IsMasterProtein,A0A3B6EIZ0,Amidohydro-rel domain-containing protein OS=Triticum aestivum OX=4565 PE=3 SV=1,0,5.798,8,2,2,2,401,44.2,8.41,5.04,2,0,112.1,87.9,High,Peak Found,1,
FALSE,High,IsMasterProtein,A0A3B6B5K3,Aminomethyltransferase OS=Triticum aestivum OX=4565 PE=3 SV=1,0,2.855,9,2,2,2,414,44.2,8.44,2.88,2,0,200,,High,Not Found,1,
FALSE,High,IsMasterProtein,A0A3B6QFX7,Aminopeptidase OS=Triticum aestivum OX=4565 PE=3 SV=1,0,16.478,11,8,12,8,846,94.7,5.35,21.09,8,0,200,,High,Not Found,1,Met-loss+Acetyl [N-Term]
FALSE,High,IsMasterProtein,A0A3B6PKA7,Aminotran_1_2 domain-containing protein OS=Triticum aestivum OX=4565 PE=3 SV=1,0.009,1.327,3,1,1,1,416,45.2,5.41,2.17,1,0,200,,High,Not Found,1,
FALSE,High,IsMasterProtein,A0A3B6RL56,Aminotran_1_2 domain-containing protein OS=Triticum aestivum OX=4565 PE=3 SV=1,0,1.93,3,1,1,1,422,46.1,6.4,1.92,1,0,200,,High,Not Found,1,
FALSE,High,IsMasterProtein,A0A3B6JL93,Aminotran_1_2 domain-containing protein OS=Triticum aestivum OX=4565 PE=4 SV=1,0,5.774,7,2,3,2,426,46.2,8.43,4.92,2,0,200,,High,Not Found,1,
FALSE,High,IsMasterProtein,A0A3B6AUE3,Aminotran_1_2 domain-containing protein OS=Triticum aestivum OX=4565 PE=4 SV=1,0,7.908,6,2,2,2,556,60.5,5.95,6.13,2,0,200,,High,Not Found,1,
FALSE,High,IsMasterProtein,A0A3B6KHS7,Aminotran_1_2 domain-containing protein OS=Triticum aestivum OX=4565 PE=4 SV=1,0,2.439,3,1,1,1,464,50.1,7.5,2.14,1,0,160,40,High,Peak Found,1,
FALSE,High,IsMasterProtein,A0A3B5YT90,Aminotran_1_2 domain-containing protein OS=Triticum aestivum OX=4565 PE=4 SV=1,0,8.702,12,4,5,4,482,52.8,6.55,11.52,4,0,200,,High,Not Found,1,Met-loss+Acetyl [N-Term]
FALSE,High,IsMasterProtein,A0A3B6FLC3,Aminotran_5 domain-containing protein OS=Triticum aestivum OX=4565 PE=4 SV=1,0,4.684,4,1,1,1,471,51.1,7.02,2.86,1,0,200,,High,Not Found,1,
FALSE,High,IsMasterProtein,A0A3B6SG63,ANK_REP_REGION domain-containing protein OS=Triticum aestivum OX=4565 PE=4 SV=1,0,8.257,9,2,2,2,339,36.6,4.54,4.97,2,0,159.6,40.4,High,Peak Found,1,Met-loss+Acetyl [N-Term]
FALSE,High,IsMasterProtein,A0A3B6MXV8,ANK_REP_REGION domain-containing protein OS=Triticum aestivum OX=4565 PE=4 SV=1,0,1.977,7,1,1,1,245,25.2,4.89,2.4,1,0,,,High,Peak Found,1,Met-loss+Acetyl [N-Term]
FALSE,High,IsMasterProtein,A0A3B5YXC2,ANK_REP_REGION domain-containing protein OS=Triticum aestivum OX=4565 PE=4 SV=1,0,2.46,8,1,1,1,263,28,6.61,1.61,1,0,200,,High,Not Found,1,
FALSE,High,IsMasterProtein,A0A3B6RFJ8,Annexin OS=Triticum aestivum OX=4565 PE=3 SV=1,0,18.055,18,6,8,2,314,35.3,7.28,20.23,6,4,200,,High,Not Found,1,Met-loss+Acetyl [N-Term]
FALSE,High,IsMasterProtein,A0A3B6NTT8,Annexin OS=Triticum aestivum OX=4565 PE=3 SV=1,0,7.424,11,3,3,1,315,35.4,6.57,5.13,3,0,200,,High,Not Found,1,
FALSE,High,IsMasterProtein,A0A3B6QHZ1,Annexin OS=Triticum aestivum OX=4565 PE=3 SV=1,0,6.853,10,3,3,1,315,35.3,6.81,3.19,3,2,200,,High,Not Found,1,
FALSE,High,IsMasterProtein,A0A3B6TND9,Annexin OS=Triticum aestivum OX=4565 PE=3 SV=1,0,16.243,20,5,7,1,243,27.1,7.02,20.09,5,0,200,,High,Not Found,1,Met-loss+Acetyl [N-Term]
FALSE,Medium,IsMasterProtein,A0A2X0U275,APH domain-containing protein OS=Triticum aestivum OX=4565 GN=CAMPLR22A2D_LOCUS5375 PE=3 SV=1,0.014,1.208,2,1,1,1,424,47.7,6.14,0,1,0,200,,High,Not Found,1,
FALSE,Medium,IsMasterProtein,A0A1D5VIV1,Argonaute 4 OS=Triticum aestivum OX=4565 GN=AGO4 PE=2 SV=1,0.014,1.193,2,1,1,1,916,101.8,8.88,1.76,1,0,200,,High,Not Found,1,
FALSE,High,IsMasterProtein,A0A3B6PG68,Aspartate aminotransferase OS=Triticum aestivum OX=4565 PE=4 SV=1,0,9.951,12,4,5,4,426,47.4,6.84,9.98,4,0,187.6,12.4,High,Peak Found,1,
FALSE,High,IsMasterProtein,A0A3B6ELG3,Aspartate aminotransferase OS=Triticum aestivum OX=4565 PE=4 SV=1,0,20.055,19,6,11,6,387,42.6,8.22,24.25,6,0,200,,High,Not Found,1,
FALSE,High,IsMasterProtein,A0A3B6NVU6,Aspartate aminotransferase OS=Triticum aestivum OX=4565 PE=4 SV=1,0,6.78,6,2,2,2,468,51.9,7.24,5.21,2,0,200,,High,Not Found,1,
FALSE,High,IsMasterProtein,A0A3B6B8G2,ATP synthase subunit alpha OS=Triticum aestivum OX=4565 PE=3 SV=1,0,5.166,5,2,2,2,509,55.4,5.9,4.66,2,0,200,,High,Not Found,1,
FALSE,High,IsMasterProtein,A0A3B5Z3C7,ATP synthase subunit beta OS=Triticum aestivum OX=4565 PE=4 SV=1,0,9.293,7,2,4,2,387,41.8,6.15,9.8,2,0,200,,High,Not Found,1,
FALSE,High,IsMasterProtein,A0A3B6LQI8,ATPase OS=Triticum aestivum OX=4565 PE=3 SV=1,0,4.457,8,2,2,1,363,40.6,4.98,4.27,2,0,200,,High,Not Found,1,Met-loss+Acetyl [N-Term]
FALSE,High,IsMasterProtein,A0A3B6KLZ8,ATPase OS=Triticum aestivum OX=4565 PE=3 SV=1,0,6.959,8,2,2,1,363,40.7,4.91,6.13,2,1,200,,High,Not Found,1,Met-loss+Acetyl [N-Term]
FALSE,High,IsMasterProtein,A0A3B6IMK6,ATP-dependent (S)-NAD(P)H-hydrate dehydratase OS=Triticum aestivum OX=4565 PE=3 SV=1,0,3.058,3,1,1,1,380,41.1,8.13,2.1,1,0,200,,High,Not Found,1,
FALSE,High,IsMasterProtein,A0A3B6C8B8,ATP-dependent 6-phosphofructokinase OS=Triticum aestivum OX=4565 GN=PFK PE=3 SV=1,0,3.205,6,2,2,2,469,50.8,6.43,3.43,2,0,200,,High,Not Found,1,
FALSE,High,IsMasterProtein,A0A3B6LYX2,ATP-dependent DNA helicase 2 subunit KU80 OS=Triticum aestivum OX=4565 PE=3 SV=1,0,3.53,4,2,2,2,679,76.5,6.15,3.43,2,0,200,,High,Not Found,1,
FALSE,High,IsMasterProtein,A0A3B6EKF0,ATP-grasp domain-containing protein OS=Triticum aestivum OX=4565 PE=3 SV=1,0.007,1.392,2,1,1,1,629,67.9,7.18,1.66,1,0,200,,High,Not Found,1,
